"","cv = 2","cv = 5","cv = 10"
"1",128947.812404697,119753.973827658,115517.984238012
"2",126134.268378968,119591.637659351,119455.516191165
"3",120557.777649175,118065.57966513,120649.056251995
"4",128697.263865756,121163.130136351,118494.340455347
"5",111338.927177183,119362.741850497,123222.746958222
"6",131042.166957682,120375.839412053,118524.060670529
"7",127454.701214955,123027.523200466,123588.921852983
"8",126680.814527101,123341.159084888,117549.355742128
"9",134340.213863038,119061.527852359,116541.650133856
"10",116094.022531312,122484.688915395,116836.996346044
"11",126714.62958747,123804.988789271,115109.756905426
"12",127602.771988622,115027.240804804,114695.981333893
"13",122566.502307386,117654.452878136,118505.340705435
"14",121853.755993973,117571.18219515,115069.91437451
"15",118333.363464523,127733.267577817,121489.476360179
"16",118691.38539888,122582.318806292,117734.595079676
"17",115995.022016729,119461.036976828,121621.520672211
"18",129840.523210019,118925.851213678,118828.967078394
"19",128157.673445346,119086.959919058,119233.105517776
"20",123715.661159853,119721.140967169,118340.013866498
"21",128056.994642162,120564.835883355,114005.604321083
"22",137933.199653913,116955.665066959,121857.962539591
"23",131603.83234734,120391.310439201,121962.553119308
"24",119113.817564784,116922.581143992,118715.52762662
"25",125240.698764997,116108.089043677,118921.57770072
"26",119486.862626192,128042.332445228,112466.494018338
"27",125600.707619634,119361.472811697,119503.715304835
"28",132889.135440184,119777.266065661,118674.100108517
"29",138797.035394703,123990.211009032,119498.231654851
"30",133596.049376495,118282.591679924,119022.919794666
